,Genus,Species,Zones,Light,Moisture,Soil texture,Soil pH,Form,Height,Width,Root Span,Lifespan,Growth Rate,Native?,Edible?,Medicinal?,Nitrogen fixer?,Ground cover?,Dynamic Accumulator?,Nectary?,Cover crop?,Seed/stock Sources (see tab 2 for key),Local examples,Sources,Notes,Insects,Animals,,If Edible: Flavor Profile
Alfalfa,Medicago,Sativa,,,Drought tolerant,,6.8 – 7.5,herb,3' (1m),,49' (15m),annual,,,,,x,,,,x,,,BG,"Excellent cover crop. Used as hay for cows (especially milk), goats, sheep, and horses.","alfalfa weevil, aphids, armyworms, the potato leafhopper, alfalfa leafcutter bee"
Sundrops,Oenothera,Caespitosa,,,,,,,,,,,,,,,,x
Sweet Cicely,Umbelliferae,Myrrhis,,Partial shade,Moist,,,"shrub, small",3',3',,,,,"leaves, root, seed, tea",x,,,,,,,,PFAF,"PFAF: ""Excellent raw, the leaves have a delicious sweet aniseed flavour and are liked by the majority of people who try them... They can be cooked with tart fruits in order to reduce their acidity. The plant produces fresh leaves from late winter to early the following winter."""
Sweetfern,Comptonia,Peregrina,2 - 6,Some shade,Drought tolerant,,,"shrub, small",3',4-8',,,s-m,,tea,x,x,,,,,,,"EFG, PFAF","Tolerates dry soil when grown in the shade. Leaves are astringent, blood purifier, expectorant and tonic."
Sylvetta Arugula,Diplotaxis,Muralis/Tenuifolia,3,Full sun,Drought tolerant,,5.5-7,"Herb, S",1',1',,2-5 yrs,,,leaves,,,,,x,,SOC,R&R,PFAF,"Common roadside weed in many places (CO?). Prolific leaves taste bitter like Arugula. ""Prefers dry soils and dislikes shade. Very resistant to heat"" - PFAF."
Thread-leaved coreopsis,Coreopsis,Verticillata,,,,,,,,,,,,x,,,,x,,x,,,,EFG
Thyme,Thymus,spp,,,,,,,,,,,,,herb,,,,,,,,Monument,EFG
Tomatillo,,,,,,,,,,,,annual
Valerian,Valeriana,V. officinalis,5 - 8,Full Sun-Partial Shade,Moist,"S, L, C",,"shrub, med",4-6',,,,,,,x,,,,,,,"R&R, DGL","PFAF, Wiki, HH","Valerian root has been shown to encourage sleep, improve sleep quality and reduce blood pressure. Dry, rocky soil produces more potent oils than fertile soil. ""When grown for its medicinal root, the plant should not be allowed to flower."" ""Valerian (Valeriana officinalis, Valerianaceae) is a hardy perennial flowering plant, with heads of sweetly scented pink or white flowers...Valerian was used as a perfume in the sixteenth century...Native to Europe and parts of Asia, Valerian has been introduced into North America...Valerian, in pharmacology and phytotherapic medicine, is the name of a herb or dietary supplement prepared from roots of the plant, which, after maceration, trituration, dehydration processes...may be used for certain effects including sedation and anxiolytic effect."" Wikipedia (http://en.wikipedia.org/wiki/Valerian_(herb))"
Vetch,Vicia,dasycarpa/villosa,,,,,,,,,,annual,,,,,x
"Walnut, black",Juglans,Nigra,,,Drought tolerant
Welsh Bunching Onions,Allium,Fistulosum,4 - 10,Full sun,moist,,5.5 - 8,"herb, medium",2-3',1-2',,perennial,s-m,,"bulbs, leaves",x,,,,x,,"BG, HH","CRMPI, R&R","EFG, PFAF",Very hardy and easy to grow. bulbs are small (.5-1 inch diameter) but have strong flavor. leaves have mild onion flavor and can be eaten raw or cooked. repels insects.
Wild Indigo,Baptisia,spp,2,Full sun,Drought tolerant,,,,6',2',,perennial,f,,,,x,,,x,,,,EFG,"Dye plant, attractive perennial flower"
Wild lupine,Lupinus,Perennus,3,,Moist,,,,,,,,,,seeds,,x,,,,,,,EFG
"Wintergreen, christmas",Gaultheria,Procumbens,4,Partial - full shade,Drought tolerant,"S, L",Acidic,,,,,perennial,,,"fruit, leaves as tea",x,,x,,x,,OTC,,"OTC, PFAF","""The bright red fruits are attractive and remain on all winter. Really a good edible groundcover and will spread with its dense growth habit. Needs acidic soil with lots of organic matter."" - OTC"
Wood Nettle,Laportaea,Canadensis,3 - 8,Shade,Moist,,,herb,1-3',1-3',,,,,"cooking greens, tea",x,,,,,,,,EFG,stings before cooked
Wooly Thyme,Thymus,pseudolanuginosus,6,Full sun,Drought tolerant,"S,L",,herb,"1""",indef,,perennial,,,leaves,,,x,,,,,,"xeriscape CO, PFAF","Excellent groundcover: good in cracks and paths. Tolerates being walked on occasionally. OK edible. Likes sandy soil. Thymes dislike wet conditions, especially in the winter. Hardy to approx. 10 F (sunny microclimates only in Denver area)"
,Sedum,,,,,S,,,,,,,,,,,,x
